Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,tags,geo,source
825692,"April 17, 2017",Illinois,Champaign,1400 block of Hickory St,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Drug involvement', 'Criminal act with stolen gun', 'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1297', ' -88.2424']",http://www.news-gazette.com/news/local/2017-04-18/traffic-stop-leads-drug-gun-charges.html
826101,"April 14, 2017",Illinois,Champaign,Sixth Street and Beardsley Avenue,0,0,"['Shots Fired - No Injuries', 'Possession of gun by felon or prohibited person']","['40.1262', ' -88.2305']",http://www.news-gazette.com/news/local/2017-04-21/update-swat-unit-aids-urbana-arrest-gun-charge.html
819230,"April 12, 2017",Illinois,Urbana,2700 block of Arlene Dr,0,0,"['Non-Shooting Incident', 'Drug involvement', 'ATF/LE Confiscation/Raid/Arrest', 'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1407', ' -88.1721']",http://www.news-gazette.com/news/local/2017-10-16/pot-growing-gun-possession-net-9-years-prison.html
820482,"April 12, 2017",Illinois,Champaign,300 block of East Washington Street,0,0,['Shots Fired - No Injuries'],"['40.12', ' -88.235']",/incident/820480
819232,"April 11, 2017",Illinois,Champaign,3rd St and Springfield Av,0,0,"['Non-Shooting Incident', 'Drug involvement', 'Possession of gun by felon or prohibited person', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1127', ' -88.2354']",http://www.news-gazette.com/news/local/2017-04-13/crash-leads-drug-gun-charges-against-danville-man.html
820480,"April 10, 2017",Illinois,Champaign,400 block of East Washington Street,0,0,['Shots Fired - No Injuries'],"['40.1201', ' -88.2335']",http://www.news-gazette.com/news/local/2017-04-14/champaign-man-arrested-over-shots-fired.html
845861,"April 8, 2017",Illinois,Urbana,700 block of South Anderson,0,0,"['Shots Fired - No Injuries', 'Drive-by (car to street, car to car)']","['40.1073', ' -88.2']",http://www.illinoishomepage.net/news/local-news/shooting-suspect-awaits-extradition/715847026
807588,"March 29, 2017",Illinois,Champaign,400 block of W Eureka St,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Possession of gun by felon or prohibited person']","['40.1255', ' -88.2486']",http://www.news-gazette.com/news/local/2017-03-30/2-champaign-men-charged-over-gun-car.html
833709,"March 28, 2017",Illinois,Champaign,3rd and Washington St,0,1,['Shot - Wounded/Injured'],"['40.12', ' -88.2354']",http://www.wandtv.com/story/35294491/champaign-shooting-still-under-investigation
800001,"March 20, 2017",Illinois,Champaign,Market St and I-57,0,0,"['Non-Shooting Incident', 'Drug involvement', 'ATF/LE Confiscation/Raid/Arrest', 'Criminal act with stolen gun', 'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1808', ' -88.2467']",http://www.news-gazette.com/news/local/2017-03-22/michigan-man-arrested-after-gun-found-car-i-57.html
796940,"March 14, 2017",Illinois,Champaign,500 block of South Staley Road,0,0,"['Shots Fired - No Injuries', 'Drive-by (car to street, car to car)', 'ATF/LE Confiscation/Raid/Arrest', 'Possession (gun(s) found during commission of other crimes)', 'Possession of gun by felon or prohibited person', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1119', ' -88.3145']",/incident/295431
794130,"March 11, 2017",Illinois,Champaign,Third and White,0,0,"['Non-Shooting Incident', 'Drug involvement', 'Possession (gun(s) found during commission of other crimes)', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1144', ' -88.2354']",http://www.wandtv.com/story/34784844/u-of-i-police-recover-loaded-handgun-make-two-arrests-in-traffic-stop
